model	fallacy	argument_ori	claim	method	emotion	argument_gen	id	id_ori	id_gen
gpt-4o-mini	false causality	My brother received the COVID-19 vaccine and then had diarrhea for a week. The vaccine is the reason my brother's bowels came undone.	The vaccine caused my brother's diarrhea.  	loaded words	surprise	 My brother received the COVID-19 vaccine and then had **shockingly** severe diarrhea for a week. The vaccine is the **unexpected** reason my brother's bowels came undone.	7435	133	1
gpt-4o-mini	false causality	My brother received the COVID-19 vaccine and then had diarrhea for a week. The vaccine is the reason my brother's bowels came undone.	The vaccine caused my brother's diarrhea.  	storytelling	fear	 My brother received the COVID-19 vaccine and then had diarrhea for a week. **It made me worry about the unknown long-term effects that could be lurking just beneath the surface, waiting to reveal themselves.**	4751	133	2
deepseek-r1-distill-llama-70b	false causality	My brother received the COVID-19 vaccine and then had diarrhea for a week. The vaccine is the reason my brother's bowels came undone.	The vaccine caused my brother's diarrhea.  	loaded words	sadness	 My brother received the COVID-19 vaccine and then had diarrhea for a **heartbreaking** week. The vaccine is the **tragic** reason my brother's bowels **fell apart in a devastating way**.	2227	133	3
gpt-4o-mini	ad hominem	My doctor is overweight, so I don't believe anything he tells me about improving my health.	I don't believe my doctor's health advice.  	loaded words	surprise	 My doctor is **shockingly** overweight, so I don't believe anything he tells me about **improving my health**.	6566	134	0
qwen3-32b	ad hominem	My doctor is overweight, so I don't believe anything he tells me about improving my health.	I don't believe my doctor's health advice.  	imagery	sadness	 My doctor is overweight, so I don't believe anything he tells me about improving my health. **I’ve noticed him alone in the break room, pushing around a plate of untouched salad, his eyes shadowed by a silence that feels too heavy.**	13303	134	1
qwen3-32b	ad hominem	My doctor is overweight, so I don't believe anything he tells me about improving my health.	I don't believe my doctor's health advice.  	loaded words	disgust	 My doctor is **disgustingly** overweight, so I don’t believe anything he tells me about improving my health.	13143	134	2
qwen3-32b	ad hominem	My doctor is overweight, so I don't believe anything he tells me about improving my health.	I don't believe my doctor's health advice.  	storytelling	sadness	 My doctor is overweight, so I don't believe anything he tells me about improving my health. **He shared that his weight is a result of years of grief after losing his father, and I couldn’t help but feel his silence.**	14722	134	3
llama-3.3-70b-instruct	faulty generalization	My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous.	Trail running is dangerous.  	imagery	surprise	 My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous, **with the sudden burst of black and white fur dashing across our path, chaos erupted in an instant**.	10326	135	0
deepseek-r1-distill-llama-70b	faulty generalization	My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous.	Trail running is dangerous.  	storytelling	fear	 My dog got sprayed by a skunk this morning on the trail; **what if it had been something even worse, like a wild animal attacking?** Therefore, trail running is dangerous.	1364	135	1
gpt-4o-mini	faulty generalization	My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous.	Trail running is dangerous.  	imagery	sadness	 My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous. **As I watched him sulk home, tail tucked and spirit dimmed, I felt the weight of that moment, knowing it would linger in his memory long after the smell faded.**	6805	135	2
gpt-4o-mini	faulty generalization	My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous.	Trail running is dangerous.  	imagery	anger	 My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous. **Imagine the moment when I saw him, fur matted and eyes wide, as the foul stench clung to him like a dark cloud, while I felt the surge of anger at the careless disregard for our safety.**	5347	135	3
deepseek-r1-distill-llama-70b	faulty generalization	My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!	All Math classes must be hard.	loaded words	sadness	 My friend said her Math class was **heartbreaking**, and the one I’m in is **devastating**, too. All Math classes must be **heartbreaking**!	201	136	0
llama-3.3-70b-instruct	faulty generalization	My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!	All Math classes must be hard.	loaded words	enjoyment	 My friend said her Math class was **thrillingly** hard, and the one I’m in is **delightfully** hard, too. All Math classes must be **fascinatingly** hard!	12359	136	1
deepseek-r1-distill-llama-70b	faulty generalization	My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!	All Math classes must be hard.	loaded words	enjoyment	 My friend said her Math class was **thrilling**, and the one I’m in is **exhilarating**, too. All Math classes must be **thrilling**!	685	136	2
llama-3.3-70b-instruct	faulty generalization	My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!	All Math classes must be hard.	imagery	enjoyment	 My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard! **The sunlight streaming through the window casts a warm glow over the rows of desks, illuminating the eager faces of my classmates as we work together to solve the puzzles.**	12014	136	3
deepseek-r1-distill-llama-70b	circular reasoning	My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid.	My new method is the most valid for meta-analyses.  	imagery	anger	 My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid. **Imagine a field of researchers toiling in the dark, their efforts overshadowed by the glaring injustice of inferior methods, while my approach shines like a beacon of truth.**	297	137	0
qwen3-32b	circular reasoning	My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid.	My new method is the most valid for meta-analyses.  	loaded words	fear	 My new method of conducting meta-analyses is the **critically valid** one because it is the **only one that prevents catastrophic errors**, the **only one that has ever avoided** disastrous inaccuracies, and the **only one that is absolutely valid**. Using anything **less rigorous** could lead to **irreversible consequences**.	14001	137	1
gpt-4o-mini	circular reasoning	My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid.	My new method is the most valid for meta-analyses.  	loaded words	enjoyment	 My new method of conducting meta-analyses is the most valid there is because it is the **delightfully** only one capable of such **wonderful** validity, the **joyful** only one that has ever approached such **remarkably** high validity, and the **happily** only one that is so **truly** valid.	7745	137	2
gpt-4o-mini	circular reasoning	My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid.	My new method is the most valid for meta-analyses.  	loaded words	sadness	 My new method of conducting meta-analyses is the most valid there is because it is the **tragically** only one capable of such **heartbreaking** validity, the **sorrowfully** only one that has ever approached such **painfully** high validity, and the **lamentably** only one that is so **deeply** valid.	7027	137	3
